title,url,date
FCC ‘Network Neutrality’ Order Shakes Up Broadband Privacy,https://www.cooley.com/news/insight/2024/2024-05-15-fcc-network-neutrality-order-shakes-up-broadband-privacy,2024-05-15
"FTC Continues to ‘Dispute’ Orange Book Device Patent Listings, But Still No Antitrust Enforcement",https://www.cooley.com/news/insight/2024/2024-05-15-ftc-continues-to-dispute-orange-book-device-patent-listings-but-still-no-antitrust-enforcement,2024-05-15
Five Considerations for Leveraging Third-Party AI Tools to Develop Products,https://www.cooley.com/news/insight/2024/2024-05-14-five-considerations-for-leveraging-thirdparty-ai-tools-to-develop-products,2024-05-14
UK Government Publishes Response to Call for Evidence on National Security and Investment Regime,https://www.cooley.com/news/insight/2024/2024-05-14-uk-government-publishes-response-to-call-for-evidence-on-national-security-and-investment-regime,2024-05-14
UK Continues Focus on Trade Sanctions Enforcement With Updates to Export Control Guidance,https://www.cooley.com/news/insight/2024/2024-05-09-uk-continues-focus-on-trade-sanctions-enforcement-with-updates-to-export-control-guidance,2024-05-09
FCC Reinstates ‘Network Neutrality’ Rules,https://www.cooley.com/news/insight/2024/2024-05-08-fcc-reinstates-network-neutrality-rules,2024-05-08
Public Companies Update – April One-Minute Reads,https://www.cooley.com/news/insight/2024/2024-05-03-pubco-one-minute-reads,2024-05-06
"New License Exception Authorizes Exports of Previously Restricted Medical Devices and Related Items to Russia, Belarus, Occupied Ukraine",https://www.cooley.com/news/insight/2024/2024-05-06-new-license-exception-authorizes-exports-of-previously-restricted-medical-devices-and-related-items,2024-05-06
Sunsetting Enforcement Discretion for CLIA-Certified High-Complexity Tests – FDA Presses Ahead With LDT Final Rule,https://www.cooley.com/news/insight/2024/2024-05-06-sunsetting-enforcement-discretion-for-clia-certified-high-complexity-tests-fda-presses-ahead-with-ldt-final-rule,2024-05-06
CFPB Study Finds Consumers Pay More When Pricing Is Complex,https://www.cooley.com/news/insight/2024/2024-05-06-cfpb-study-finds-consumers-pay-more-when-pricing-is-complex,2024-05-06
Greenwashing in Retail: Going Out of Fashion,https://www.cooley.com/news/insight/2024/2024-05-03-greenwashing-in-retail-going-out-of-fashion,2024-05-03
"Q1 2024 Venture Financing Report – Invested Capital Increases at All Stages and Median Pre-Money Valuations Increase for Early Rounds, While Percentage of Down Rounds Reaches New High",https://www.cooley.com/news/insight/2024/2024-05-02-q1-2024-venture-financing-report,2024-05-02
New US Law Doubles Statute of Limitations for Sanctions Violations,https://www.cooley.com/news/insight/2024/2024-05-01-new-us-law-doubles-statute-of-limitations-for-sanctions-violations,2024-05-01
Changing Headwinds: Get the Latest From the UK on AI Antitrust Regulation,https://www.cooley.com/news/insight/2024/2024-04-30-changing-headwinds-get-the-latest-from-the-uk-on-ai-antitrust-regulation,2024-04-30
Takeover Panel Proposes to Refocus Takeover Code on Companies Registered and Listed in the UK,https://www.cooley.com/news/insight/2024/2024-04-29-takeover-panel-proposes-to-refocus-takeover-code-on-companies-registered-and-listed-in-the-uk,2024-04-30
IRS Publishes Proposed Regulations on Stock Buyback Excise Tax,https://www.cooley.com/news/insight/2024/2024-04-29-irs-publishes-proposed-regulations-on-stock-buyback-excise-tax,2024-04-29
"New SEC Requirements for Form 13F Filers Effective July 1, 2024",https://www.cooley.com/news/insight/2024/2024-04-26-new-sec-requirements-for-form-13f-filers-effective-july-1-2024,2024-04-26
"CFPB Reports on Recent Mortgage Servicing Examination Findings, Continues to Highlight ‘Junk’ Fees",https://www.cooley.com/news/insight/2024/2024-04-26-cfpb-reports-on-recent-mortgage-servicing-examination-findings-continues-to-highlight-junk-fees,2024-04-26
EU Adopts Mandatory Rules on Corporate Sustainability Due Diligence That Will Apply to Many US Companies,https://www.cooley.com/news/insight/2024/2024-04-24-eu-adopts-mandatory-rules-on-corporate-sustainability-due-diligence-that-will-apply-to-many-us-companies,2024-04-24
FTC Passes Sweeping Noncompete Ban,https://www.cooley.com/news/insight/2024/2024-04-24-ftc-passes-sweeping-noncompete-ban,2024-04-24
CFPB Emphasizes Voluntary Nonbank Consent to Supervision in Updated Procedural Rulemaking,https://www.cooley.com/news/insight/2024/2024-04-23-cfpb-emphasizes-voluntary-nonbank-consent-to-supervision-in-updated-procedural-rulemaking,2024-04-23
Address Complainants Before They Become Whistleblowers,https://www.cooley.com/news/insight/2024/2024-04-23-address-complainants-before-they-become-whistleblowers,2024-04-23
UK Antitrust Enforcer Outlines Growing Concerns for AI Foundation Model Markets,https://www.cooley.com/news/insight/2024/2024-04-19-uk-antitrust-enforcer-outlines-growing-concerns-for-ai-foundation-model-markets,2024-04-19
US Supreme Court: Pure Omissions Not Actionable Under Rule 10b-5(b),https://www.cooley.com/news/insight/2024/2024-04-18-us-supreme-court-pure-omissions-not-actionable-under-rule-10b-5b,2024-04-18
"UK Reporting for Share Plans With UK Participants Due 6 July, Change of EMI Option Notification Deadline as of 6 April",https://www.cooley.com/news/insight/2024/2024-04-17-uk-reporting-for-share-plans-with-uk-participants,2024-04-17
"CFPB’s Spring Supervisory Highlights Report Reinforces Focus on Consumer Reporting, Furnisher Activities",https://www.cooley.com/news/insight/2024/2024-04-12-cfpbs-spring-supervisory-highlights-report-reinforces-focus-on-consumer-reporting-furnisher-activities,2024-04-12
FTC Enhances Scrutiny of Subscriptions and Negative Option Features Under ROSCA,https://www.cooley.com/news/insight/2024/2024-04-11-ftc-enhances-scrutiny-of-subscriptions-and-negative-option-features-under-rosca,2024-04-11
Cooley Partners Contribute to ‘Venture Capital & Public Offering Negotiation’,https://www.cooley.com/news/insight/2024/2024-04-11-cooley-partners-contribute-to-venture-capital-public-offering-negotiation,2024-04-11
Noncompete Agreements: What’s New and What’s on the Horizon?,https://www.cooley.com/news/insight/2024/2024-04-11-noncompete-agreements-whats-new-and-whats-on-the-horizon,2024-04-11
Court Instructs FCC to Amend Definition of ‘Critical Infrastructure’ in Equipment Authorization Order,https://www.cooley.com/news/insight/2024/2024-04-09-court-instructs-fcc-to-amend-definition-of-critical-infrastructure-in-equipment-authorization-order,2024-04-09
"CFPB Highlights Financial, Privacy Risks of Consumer Transactions on Gaming Platforms",https://www.cooley.com/news/insight/2024/2024-04-09-cfpb-highlights-financial-privacy-risks-of-consumer-transactions-on-gaming-platforms,2024-04-09
Public Companies Update – March One-Minute Reads,https://www.cooley.com/news/insight/2024/2024-04-05-pubco-one-minute-reads,2024-04-05
FCC Requires ‘All-In’ Pricing for Video Service Bills and Marketing,https://www.cooley.com/news/insight/2024/2024-04-04-fcc-requires-all-in-pricing-for-video-service-bills-and-marketing,2024-04-04
"Marketing Practices of Remittance Transfer Providers May Violate CFPA, CFPB Cautions",https://www.cooley.com/news/insight/2024/2024-04-01-marketing-practices-of-remittance-transfer-providers-may-violate-cfpa-cfpb-cautions,2024-04-01
NSD’s Revised Enforcement Policy for Business Organizations Incentivizes Voluntary Self-Disclosures in M&A Context,https://www.cooley.com/news/insight/2024/2024-04-01-nsds-revised-enforcement-policy-for-business-organizations-incentivizes-voluntary-self-disclosures-in-ma-context,2024-04-01
Alternative Data: The COSO Perspective,https://www.cooley.com/news/insight/2024/2024-03-28-alternative-data-the-coso-perspective,2024-03-28
Life Sciences Disputes: Lessons From 2023 and What to Expect in 2024,https://www.cooley.com/news/insight/2024/2024-03-28-life-sciences-disputes-lessons-from-2023-and-what-to-expect-in-2024,2024-03-28
FCC Adopts New Minimum Standards for Broadband Services,https://www.cooley.com/news/insight/2024/2024-03-28-fcc-adopts-new-minimum-standards-for-broadband-services,2024-03-28
District of Columbia Joins Pay Transparency Bandwagon,https://www.cooley.com/news/insight/2024/2024-03-26-district-of-columbia-joins-pay-transparency-bandwagon,2024-03-26
"Tri-Seal Compliance Note Highlights Broad Reach of US Trade Controls, Obligations of Non-US Persons",https://www.cooley.com/news/insight/2024/2024-03-27-tri-seal-compliance-note-highlights-broad-reach-of-us-trade-controls-obligations-of-non-us-persons,2024-03-26
Key Considerations for Corporate Venture Capital LP Investments,https://www.cooley.com/news/insight/2024/2024-03-25-key-considerations-for-corporate-venture-capital-lp-investments,2024-03-25
California Releases Workplace Violence Prevention Guidance,https://www.cooley.com/news/insight/2024/2024-03-25-california-releases-workplace-violence-prevention-guidance,2024-03-25
FCC Issues Framework for Consumer Internet of Things Cybersecurity Program,https://www.cooley.com/news/insight/2024/2024-03-25-fcc-issues-framework-for-consumer-internet-of-things-cybersecurity-program,2024-03-22
UK Introduces Export Controls for Emerging Technologies,https://www.cooley.com/news/insight/2024/2024-03-19-uk-introduces-export-controls-for-emerging-technologies,2024-03-21
"Protested CFPB Supervisory Order Reveals Process, Priorities",https://www.cooley.com/news/insight/2024/2024-03-20-protested-cfpb-supervisory-order-reveals-process-priorities,2024-03-20
"Comparing the SEC Climate Rules to California, EU and ISSB Disclosure Frameworks",https://www.cooley.com/news/insight/2024/2024-03-18-comparing-the-sec-climate-rules-to-california-eu-and-issb-disclosure-frameworks,2024-03-18
Ephemeral Messaging Isn’t a Fleeting Interest for Regulators,https://www.cooley.com/news/insight/2024/2024-03-13-ephemeral-messaging-isnt-a-fleeting-interest-for-regulators,2024-03-13
EU Reaches Provisional Agreement on Banning Products Made With Forced Labour,https://www.cooley.com/news/insight/2024/2024-03-13-eu-reaches-provisional-agreement-on-banning-products-made-with-forced-labour,2024-03-13
Playing Nice in the Sandbox: FDA (Finally) Harmonizes Medical Device Manufacturing Requirements With ISO,https://www.cooley.com/news/insight/2024/2024-03-12-playing-nice-in-the-sandbox-fda-finally-harmonizes-medical-device-manufacturing-requirements-with-iso,2024-03-12
"Federal District Court Rules Corporate Transparency Act Unconstitutional, but Law Remains in Effect",https://www.cooley.com/news/insight/2024/2024-03-07-federal-district-court-rules-corporate-transparency-act-unconstitutional-but-law-remains-in-effect,2024-03-07
SEC Adopts Climate Reporting Requirements,https://www.cooley.com/news/insight/2024/2024-03-07-sec-adopts-climate-reporting-requirements,2024-03-07
CFPB Issues Final Rule to Reduce Credit Card Late Fees to $8 for Large Credit Card Issuers,https://www.cooley.com/news/insight/2024/2024-03-06-cfpb-issues-final-rule-to-reduce-credit-card-late-fees-to-8-for-large-credit-card-issuers,2024-03-06
CFPB Warns Digital Marketers About ‘Abusive’ Steering Practices,https://www.cooley.com/news/insight/2024/2024-03-04-cfpb-warns-digital-marketers-about-abusive-steering-practices,2024-03-04
FCC’s National Security Focus Is Now a Risk Area for Telecom,https://www.cooley.com/news/insight/2024/2024-03-01-fccs-national-security-focus-is-now-a-risk-area-for-telecom,2024-03-01
USPTO Offers Guidance on Inventorship for AI-Human Collaborations,https://www.cooley.com/news/insight/2024/2024-02-28-uspto-offers-guidance-on-inventorship-for-ai-human-collaborations,2024-02-28
'Not All Fun and Games With Toy Safety Reforms’,https://www.cooley.com/news/insight/2024/2024-02-27-not-all-fun-and-games-with-toy-safety-reforms,2024-02-27
‘Pulling at the Threads: Unravelling the Regulatory Developments Facing the Textile Industry’,https://www.cooley.com/news/insight/2024/2024-02-27-pulling-at-the-threads-unravelling-the-regulatory-developments-facing-the-textile-industry,2024-02-27
AI Regulatory Update: National Telecommunications and Information Administration Seeks Comments on Dual-Use Foundation Models,https://www.cooley.com/news/insight/2024/2024-02-27-ai-regulatory-update-national-telecommunications-and-information-administration-seeks-comments-on-dual-use-foundation-models,2024-02-27
CFPB Executes on Promise to Utilize ‘Dormant’ Authority to Supervise High-Risk Nonbanks,https://www.cooley.com/news/insight/2024/2024-02-26-cfpb-executes-on-promise-to-utilize-dormant-authority-to-supervise-high-risk-nonbanks,2024-02-26
Cooley Lawyers Contribute to Sedgwick’s State of the Nation 2024 Report,https://www.cooley.com/news/insight/2024/2024-02-23-cooley-lawyers-contribute-to-sedgwicks-state-of-the-nation-2024-report,2024-02-23
FinCEN Proposes Rule Requiring Investment Advisers to Establish Anti-Money Laundering Programs,https://www.cooley.com/news/insight/2024/2024-02-22-fincen-proposes-rule-requiring-investment-advisers-to-establish-anti-money-laundering-programs,2024-02-22
"New FCC Rules Limit When You Can Send Commercial Calls, Texts",https://www.cooley.com/news/insight/2024/2024-02-22-new-fcc-rules-limit-when-you-can-send-commercial-calls-texts,2024-02-22
"FCC Proposes New Regulatory Framework for In-Space Servicing, Assembly and Manufacturing Operations",https://www.cooley.com/news/insight/2024/2024-02-21-fcc-proposes-new-regulatory-framework-for-in-space-servicing-assembly-and-manufacturing-operations,2024-02-21
"Bipartisan, Bicameral Legislation Targeting Foreign Biotechnology Companies of Concern May Impact Recipients of Government Funding, Contracts",https://www.cooley.com/news/insight/2024/2024-02-21-bipartisan-bicameral-legislation-targeting-foreign-biotechnology-companies-of-concern-may-impact-recipients-of-government-funding-contracts,2024-02-21
FCC: AI-Generated Robocalls Illegal Under the TCPA,https://www.cooley.com/news/insight/2024/2024-02-15-fcc-ai-generated-robocalls-illegal-under-the-tcpa,2024-02-15
FFIEC to Lenders: Appraisal Bias Compliance Management in Focus,https://www.cooley.com/news/insight/2024/2024-02-15-ffiec-to-lenders-appraisal-bias-compliance-management-in-focus,2024-02-15
Inundated With Requests Under New Jersey’s Daniel’s Law?,https://www.cooley.com/news/insight/2024/2024-02-12-inundated-with-requests-under-new-jerseys-daniels-law,2024-02-12
EU Product Liability Reforms Represent a Major Shakeup,https://www.cooley.com/news/insight/2024/2024-02-08-eu-product-liability-reforms-represent-a-major-shakeup,2024-02-08
"Q4 2023 Venture Financing Report – Invested Capital Decreases Across All Stages of Financing, With Largest Decreases in Late-Stage Rounds; Percentage of Up Rounds Remains Below 70% of Deals",https://www.cooley.com/news/insight/2024/2024-02-07-venture-financing-report-q4-2023,2024-02-07
"FCC Digital Discrimination Rules Will Affect Landlords, Building Owners, Contractors",https://www.cooley.com/news/insight/2024/2024-02-07-fcc-digital-discrimination-rules-will-affect-landlords-building-owners-contractors,2024-02-07
How 2 CFPB Advisory Opinions Affect Reporting Agencies,https://www.cooley.com/news/insight/2024/2024-02-05-how-2-cfpb-advisory-opinions-affect-reporting-agencies,2024-02-05
"UK, EU Adopt Further Sanctions Against Russia",https://www.cooley.com/news/insight/2024/2024-02-05-uk-eu-adopt-further-sanctions-against-russia,2024-02-05
Harry Potter Versus NYC Local Law 144: Would the Sorting Hat Need a Bias Audit?,https://www.cooley.com/news/insight/2024/2024-02-05-harry-potter-versus-nyc-local-law-144-would-the-sorting-hat-need-a-bias-audit,2024-02-05
UPOV Releases Explanatory Notes Further Defining Protection for Essentially Derived Varieties,https://www.cooley.com/news/insight/2024/2024-02-05-upov-releases-explanatory-notes-further-defining-protection-for-essentially-derived-varieties,2024-02-05
"New Hart-Scott-Rodino Act Filing Thresholds, Filing Fees and Interlocking Directorate Thresholds Announced",https://www.cooley.com/news/insight/2024/2024-01-24-new-hart-scott-rodino-act-filing-thresholds-filing-fees-and-interlocking-directorate-thresholds-announced,2024-02-05
Cooley Responds to Call for Evidence on Operation of the UK’s National Security and Investment Regime,https://www.cooley.com/news/insight/2024/2024-02-02-cooley-responds-to-call-for-evidence-on-operation-of-the-uks-national-security-and-investment-regime,2024-02-02
Public Companies Update – January One-Minute Reads,https://www.cooley.com/news/insight/2024/2024-01-31-pubco-one-minute-reads,2024-01-31
US Department of Labor Issues Final Rule on Independent Contractor Status,https://www.cooley.com/news/insight/2024/2024-01-31-us-department-of-labor-issues-final-rule-on-independent-contractor-status,2024-01-31
CFPB Issues Proposal to Eliminate Fees on Instantaneously Declined Transactions,https://www.cooley.com/news/insight/2024/2024-01-30-cfpb-issues-proposal-to-eliminate-fees-on-instantaneously-declined-transactions,2024-01-30
Copyright Ownership of Generative AI Outputs Varies Around the World,https://www.cooley.com/news/insight/2024/2024-01-29-copyright-ownership-of-generative-ai-outputs-varies-around-the-world,2024-01-29
Transitional Tax Reporting Guidance for Business Transactions Involving Digital Assets,https://www.cooley.com/news/insight/2024/2024-01-26-transitional-tax-reporting-guidance-for-business-transactions-involving-digital-assets,2024-01-26
US Investors Can Take Advantage of International Treaties to Structure Foreign Investments,https://www.cooley.com/news/insight/2024/2024-01-25-us-investors-can-take-advantage-of-international-treaties-to-structure-foreign-investments,2024-01-25
Three AI Policy Updates Employers Can Make to Limit Bias,https://www.cooley.com/news/insight/2024/2024-01-25-three-ai-policy-updates-employers-can-make-to-limit-bias,2024-01-25
"Export Control Reminder: Encryption Reporting Deadline Is February 1, 2024",https://www.cooley.com/news/insight/2024/2024-01-25-export-control-reminder-encryption-reporting-deadline-is-february-1-2024,2024-01-25
"IRS Clarifies Guidance on Treatment of Research, Experimentation Expenditures",https://www.cooley.com/news/insight/2024/2024-01-25-irs-clarifies-guidance-on-treatment-of-research-experimentation-expenditures,2024-01-25
ESG Myths: Separating Fact From Fiction,https://www.cooley.com/news/insight/2024/2024-01-23-esg-myths-separating-fact-from-fiction,2024-01-23
"CFPB Issues Proposal to Limit Overdraft Fees at Large Banks, Treat Overdrafts as Credit Product",https://www.cooley.com/news/insight/2024/2024-01-22-cfpb-issues-proposal-to-limit-overdraft-fees-at-large-banks-treat-overdrafts-as-credit-product,2024-01-22
EU Court of Justice Ruling on M&A ‘Gun-Jumping’ Sets 115 Million-Euro Fine,https://www.cooley.com/news/insight/2024/2024-01-19-eu-court-of-justice-ruling-on-ma-gun-jumping-sets-115-million-euro-fine,2024-01-19
"Immediate Obligations for Employers With Noncompete, Customer Nonsolicitation Provisions for California Employees",https://www.cooley.com/news/insight/2024/2024-01-18-immediate-obligations-for-employers-with-noncompete-customer-nonsolicitation-provisions-for-california-employees,2024-01-18
"CFPB Issues Background Screening, File Disclosure Advisory Opinions",https://www.cooley.com/news/insight/2024/2024-01-18-cfpb-issues-background-screening-file-disclosure-advisory-opinions,2024-01-18
Cooley Lawyers Contribute to The Practitioner’s Guide to Global Investigations,https://www.cooley.com/news/insight/2024/2024-01-16-cooley-lawyers-contribute-to-the-practitioners-guide-to-global-investigations,2024-01-16
Landmark Product Safety Prosecution May Signal Sea Change,https://www.cooley.com/news/insight/2024/2024-01-16-landmark-product-safety-prosecution-may-signal-sea-change,2024-01-16
FDA Greenlights Florida’s Proposal for Importing Prescription Drugs From Canada,https://www.cooley.com/news/insight/2024/2024-01-11-fda-greenlights-floridas-proposal-for-importing-prescription-drugs-from-canada,2024-01-11
"New Year, New Merger Guidelines: What Dealmakers Need to Know",https://www.cooley.com/news/insight/2024/2024-01-09-new-year-new-merger-guidelines-what-dealmakers-need-to-know,2024-01-10
Year-End Reporting for ISO Exercises and ESPP Stock Transfers,https://www.cooley.com/news/insight/2024/2024-01-09-year-end-reporting-for-iso-exercises-and-espp-stock-transfers,2024-01-09
FCC Adopts New TCPA Rules for Lead-Generated Communications,https://www.cooley.com/news/insight/2024/2024-01-09-fcc-adopts-new-tcpa-rules-for-lead-generated-communications,2024-01-09
"UK AI Regulation: Past, Present and Future",https://www.cooley.com/news/insight/2024/2024-01-08-uk-ai-regulation-past-present-and-future,2024-01-08
How to Prepare for a Successful JPM Conference,https://www.cooley.com/news/insight/2024/2024-01-05-how-to-prepare-for-a-successful-jpm-conference,2024-01-05
Ownership and Control Test Under UK Sanctions Clarified Following Mints Judgment,https://www.cooley.com/news/insight/2024/2024-01-05-ownership-and-control-test-under-uk-sanctions-clarified-following-mints-judgment,2024-01-05
The Brussels Effect: Prepare to Comply With the European AI Act,https://www.cooley.com/news/insight/2024/2024-01-04-the-brussels-effect-prepare-to-comply-with-the-european-ai-act,2024-01-04
"Annual SEC Filing Deadline for Venture, Private Equity Funds Is February 14, 2024",https://www.cooley.com/news/insight/2024/2024-01-04-annual-sec-filing-deadline-for-venture-private-equity-funds-is-february-14-2024,2024-01-04
Changes Are Expected to the EU One-Stop-Shop Mechanism,https://www.cooley.com/news/insight/2024/2024-01-03-changes-are-expected-to-the-eu-onestopshop-mechanism,2024-01-03
US Companies Can Use International Law to Reduce Foreign Investment Political Risk,https://www.cooley.com/news/insight/2024/2024-01-02-us-companies-can-use-international-law-to-reduce-foreign-investment-political-risk,2024-01-02
IRS Announces Voluntary Disclosure Program for Erroneously Received Employee Retention Credits,https://www.cooley.com/news/insight/2023/2023-12-28-irs-announces-voluntary-disclosure-program-for-erroneously-received-employee-retention-credits,2023-12-28
US Tax Court: Limited Partners May Be Subject to Self-Employment Tax,https://www.cooley.com/news/insight/2023/2023-12-27-us-tax-court-limited-partners-may-be-subject-to-self-employment-tax,2023-12-27
ISS and Glass Lewis Update 2024 Proxy Voting Policies,https://www.cooley.com/news/insight/2023/2023-12-22-iss-and-glass-lewis-update-2024-proxy-voting-policies,2023-12-22
FCA Consults Further on the New UK Listing Regime,https://www.cooley.com/news/insight/2023/2023-12-22-fca-consults-further-on-the-new-uk-listing-regime,2023-12-22
A‘green’ments Between Competitors: UK CMA Publishes Green Agreements Guidance,https://www.cooley.com/news/insight/2023/2023-12-21-agreenments-between-competitors-uk-cma-publishes-green-agreements-guidance,2023-12-21
Public Companies Update – December One-Minute Reads,https://www.cooley.com/news/insight/2023/2023-12-21-pubco-one-minute-reads,2023-12-21
"US AI Regulation Remains a Moving Target, but Common Themes Emerge",https://www.cooley.com/news/insight/2023/2023-12-20-us-ai-regulation-remains-a-moving-target-but-common-themes-emerge,2023-12-20
